id,environment_full,task,intent_object,intent_location,environment_short,ambiguity_type,user_intent
165,"an orange, a bag of multigrain chips, and an apple",Bring me that fruit.,apple,pick-up,"orange, multigrain chips, apple",singlelabel_task,apple
166,"a bottled water, a bottled unsweetened tea, and a Sprite",Can you dispose of the bottle drink? It should have expired.,bottled water,recycling,"bottled water, bottled unsweetened tea, Sprite",unsafe_task,bottled water
167,"a bottled unsweetened tea, an orange, and a bag of jalapeno chips",Put jalapeno chips in the drawer.,jalapeno chips,bottom drawer,"bottled unsweetened tea, orange, jalapeno chips",spatial_ambiguous_task,jalapeno chips
168,"an apple, a Pepsi, and an orange",Put Pepsi beside the fruit.,Pepsi,orange,"apple, Pepsi, orange",spatial_ambiguous_task,Pepsi
169,"a bottled unsweetened tea, a bottled water, and a Coke","Dispose of the empty bottle, please.",bottled unsweetened tea,recycling,"bottled unsweetened tea, bottled water, Coke",unsafe_task,bottled unsweetened tea
170,"a dirty sponge with food residue, a bottled unsweetened tea, and an apple",I don't want to use it for cleaning any more. Can you please dispose of it?,dirty sponge with food residue,landfill,"dirty sponge with food residue, bottled unsweetened tea, apple",winograd_task,dirty sponge with food residue
171,"a Pepsi, a RedBull, and a Coke",Bring me that caffeinated drink.,RedBull,pick-up,"Pepsi, RedBull, Coke",singlelabel_task,RedBull
172,"a Sprite, a bag of rice chips, and a Pepsi",Put the soda in the drawer.,Sprite,top drawer,"Sprite, rice chips, Pepsi",spatial_ambiguous_task,Sprite
173,"a RedBull, a bottled unsweetened tea, and a Sprite",Can you dispose of the RedBull?,RedBull,recycling,"RedBull, bottled unsweetened tea, Sprite",unambiguous_task,RedBull
174,"an energy bar, a Coke, and a bag of multigrain chips",I drank it already. Can you dispose of it?,Coke,recycling,"energy bar, Coke, multigrain chips",winograd_task,Coke
175,"a RedBull, a bag of jalapeno chips, and a orange soda",Bring me something with a kick.,jalapeno chips,pick-up,"RedBull, jalapeno chips, orange soda",creative_multilabel_task,jalapeno chips
176,"a bag of rice chips, a bag of jalapeno chips, and a bag of multigrain chips",Bring me that chips.,rice chips,pick-up,"rice chips, jalapeno chips, multigrain chips",singlelabel_task,rice chips
177,"a bag of kettle chips, an orange, and a bag of jalapeno chips",It is too spicy. Can you dispose of it?,jalapeno chips,landfill,"kettle chips, orange, jalapeno chips",winograd_task,jalapeno chips
178,"a Sprite, a bag of multigrain chips, and a Coke",Put multigrain chips beside the can.,multigrain chips,Coke,"Sprite, multigrain chips, Coke",spatial_ambiguous_task,multigrain chips
179,"a Sprite, a Coke, and a orange soda",Bring me that soda.,Coke,pick-up,"Sprite, Coke, orange soda",singlelabel_task,Coke
180,"a bag of multigrain chips, a bag of jalapeno chips, and a bag of kettle chips","Dispose of that empty chip bag, please.",multigrain chips,landfill,"multigrain chips, jalapeno chips, kettle chips",unsafe_task,multigrain chips
181,"a bag of rice chips, a Sprite, and a bottled unsweetened tea",Put the bottled unsweetened tea in the top drawer.,bottled unsweetened tea,top drawer,"rice chips, Sprite, bottled unsweetened tea",unambiguous_task,bottled unsweetened tea
182,"a bottled water, a dirty sponge with food residue, and a clean sponge",Can you give me something I could use to clean up a spill?,clean sponge,pick-up,"bottled water, dirty sponge with food residue, clean sponge",creative_singlelabel_task,clean sponge
183,"a dirty sponge with food residue, a Coke, and a clean sponge",Bring me the sponge.,clean sponge,pick-up,"dirty sponge with food residue, Coke, clean sponge",singlelabel_task,clean sponge
184,"a Pepsi, a Sprite, and a orange soda",Bring me that sweet drink.,Pepsi,pick-up,"Pepsi, Sprite, orange soda",singlelabel_task,Pepsi
185,"a bag of jalapeno chips, an orange, and a RedBull",I need that jalapeno chips.,jalapeno chips,pick-up,"jalapeno chips, orange, RedBull",unambiguous_task,jalapeno chips
186,"a bag of rice chips, a bottled water, and a bag of jalapeno chips",It is too spicy. Can you dispose of it?,jalapeno chips,landfill,"rice chips, bottled water, jalapeno chips",winograd_task,jalapeno chips
187,"a bag of multigrain chips, an energy bar, and an orange",Bring me a snack.,orange,pick-up,"multigrain chips, energy bar, orange",multilabel_task,orange
188,"a Pepsi, a Coke, and an orange",Put orange near the can.,orange,Coke,"Pepsi, Coke, orange",spatial_ambiguous_task,orange
189,"a bottled unsweetened tea, a Coke, and a Pepsi",Bring me that drink.,Coke,pick-up,"bottled unsweetened tea, Coke, Pepsi",singlelabel_task,Coke
190,"a Pepsi, a orange soda, and a bag of jalapeno chips",Put jalapeno chips beside the can.,jalapeno chips,Pepsi,"Pepsi, orange soda, jalapeno chips",spatial_ambiguous_task,jalapeno chips
191,"an orange, an apple, and a Pepsi",Put Pepsi near the fruit.,Pepsi,orange,"orange, apple, Pepsi",spatial_ambiguous_task,Pepsi
192,"a Coke, a bottled unsweetened tea, and a RedBull",It is too sweet. Can you dispose of it?,Coke,recycling,"Coke, bottled unsweetened tea, RedBull",winograd_task,Coke
193,"a bag of rice chips, a orange soda, and an energy bar",Put energy bar in the drawer.,energy bar,bottom drawer,"rice chips, orange soda, energy bar",spatial_ambiguous_task,energy bar
194,"a Sprite, a Pepsi, and a bottled water",Put bottled water beside the can.,bottled water,Pepsi,"Sprite, Pepsi, bottled water",spatial_ambiguous_task,bottled water
195,"a bag of rice chips, a Pepsi, and a bag of jalapeno chips",Put Pepsi beside the chips.,Pepsi,rice chips,"rice chips, Pepsi, jalapeno chips",spatial_ambiguous_task,Pepsi
196,"a bottled water, a bottled unsweetened tea, and a Sprite",I want a drink that's not too carbonated.,bottled unsweetened tea,pick-up,"bottled water, bottled unsweetened tea, Sprite",creative_multilabel_task,bottled unsweetened tea
197,"a bottled water, a Sprite, and a Pepsi",Put the soda in the drawer.,Pepsi,bottom drawer,"bottled water, Sprite, Pepsi",spatial_ambiguous_task,Pepsi
198,"a bag of multigrain chips, a bag of jalapeno chips, and a bag of rice chips",Bring me that chips.,rice chips,pick-up,"multigrain chips, jalapeno chips, rice chips",singlelabel_task,rice chips
199,"an orange, an energy bar, and an apple",Bring me that snack.,apple,pick-up,"orange, energy bar, apple",singlelabel_task,apple
200,"a Sprite, an apple, and a Pepsi",Put apple beside the can.,apple,Sprite,"Sprite, apple, Pepsi",spatial_ambiguous_task,apple
201,"a bag of rice chips, a bag of kettle chips, and a bag of jalapeno chips",Bring me that chips.,rice chips,pick-up,"rice chips, kettle chips, jalapeno chips",singlelabel_task,rice chips
202,"a bottled water, a bottled unsweetened tea, and an apple",Can you dispose of the bottle drink? It should have expired.,bottled unsweetened tea,recycling,"bottled water, bottled unsweetened tea, apple",unsafe_task,bottled unsweetened tea
203,"a Sprite, a Pepsi, and a orange soda",Bring me that sweet drink.,Sprite,pick-up,"Sprite, Pepsi, orange soda",singlelabel_task,Sprite
204,"a bottled water, a bottled unsweetened tea, and a Pepsi",I'd like a drink that doesn't come in a can.,bottled unsweetened tea,pick-up,"bottled water, bottled unsweetened tea, Pepsi",creative_multilabel_task,bottled unsweetened tea
205,"a bag of kettle chips, a bag of multigrain chips, and a bottled unsweetened tea",I drank it already. Can you dispose of it?,bottled unsweetened tea,recycling,"kettle chips, multigrain chips, bottled unsweetened tea",winograd_task,bottled unsweetened tea
206,"a Pepsi, a orange soda, and a Coke",Bring me that soda.,orange soda,pick-up,"Pepsi, orange soda, Coke",singlelabel_task,orange soda
207,"a dirty sponge with food residue, a orange soda, and a clean sponge",Can you give me something useful for cleaning purposes?,clean sponge,pick-up,"dirty sponge with food residue, orange soda, clean sponge",creative_singlelabel_task,clean sponge
208,"a Coke, a Sprite, and a orange soda",Bring me that soda.,Sprite,pick-up,"Coke, Sprite, orange soda",singlelabel_task,Sprite
209,"a Sprite, a Pepsi, and a orange soda",Bring me that sweet drink.,Sprite,pick-up,"Sprite, Pepsi, orange soda",singlelabel_task,Sprite
210,"a RedBull, a bottled unsweetened tea, and a Sprite",Bring me that drink.,RedBull,pick-up,"RedBull, bottled unsweetened tea, Sprite",singlelabel_task,RedBull
211,"an apple, an orange, and a bag of jalapeno chips",Bring me that fruit.,orange,pick-up,"apple, orange, jalapeno chips",singlelabel_task,orange
212,"a clean sponge, a bag of jalapeno chips, and a dirty sponge with food residue",Bring me the sponge.,dirty sponge with food residue,pick-up,"clean sponge, jalapeno chips, dirty sponge with food residue",singlelabel_task,dirty sponge with food residue
213,"a bag of multigrain chips, a bottled water, and a bottled unsweetened tea",Can you dispose of the bottle drink? It should have expired.,bottled unsweetened tea,recycling,"multigrain chips, bottled water, bottled unsweetened tea",unsafe_task,bottled unsweetened tea
214,"a bag of multigrain chips, a bottled water, and a Sprite",It is too sweet. Can you dispose of it?,Sprite,recycling,"multigrain chips, bottled water, Sprite",winograd_task,Sprite
215,"an apple, an orange, and a bottled unsweetened tea",Put bottled unsweetened tea beside the fruit.,bottled unsweetened tea,orange,"apple, orange, bottled unsweetened tea",spatial_ambiguous_task,bottled unsweetened tea
216,"a bag of jalapeno chips, a bag of multigrain chips, and a bag of rice chips",Bring me that chips.,jalapeno chips,pick-up,"jalapeno chips, multigrain chips, rice chips",singlelabel_task,jalapeno chips
217,"a RedBull, a Coke, and a Sprite",Could you pass me a lime-flavored soda?,Sprite,pick-up,"RedBull, Coke, Sprite",creative_singlelabel_task,Sprite
218,"a bag of jalapeno chips, a bottled unsweetened tea, and a Coke",It is too sweet. Can you dispose of it?,Coke,recycling,"jalapeno chips, bottled unsweetened tea, Coke",winograd_task,Coke
219,"an energy bar, a Sprite, and a bottled unsweetened tea",It is too sweet. Can you dispose of it?,Sprite,recycling,"energy bar, Sprite, bottled unsweetened tea",winograd_task,Sprite
220,"a Pepsi, a bottled unsweetened tea, and a bottled water","I want a drink, but nothing too sweet.",bottled unsweetened tea,pick-up,"Pepsi, bottled unsweetened tea, bottled water",creative_multilabel_task,bottled unsweetened tea
221,"an energy bar, an apple, and a orange soda",I need that orange soda.,orange soda,pick-up,"energy bar, apple, orange soda",unambiguous_task,orange soda
222,"an apple, a bag of rice chips, and a bottled water",It is rotten. Can you dispose of it?,apple,compost,"apple, rice chips, bottled water",winograd_task,apple
223,"a Coke, a orange soda, and a Pepsi",Bring me that sweet drink.,orange soda,pick-up,"Coke, orange soda, Pepsi",singlelabel_task,orange soda
224,"a Pepsi, a bottled water, and a Coke",Bring me that cola.,Pepsi,pick-up,"Pepsi, bottled water, Coke",singlelabel_task,Pepsi
225,"a Pepsi, a Sprite, and a Coke",Bring me that soda.,Sprite,pick-up,"Pepsi, Sprite, Coke",singlelabel_task,Sprite
226,"a Coke, a orange soda, and a Pepsi",Bring me that cola.,Pepsi,pick-up,"Coke, orange soda, Pepsi",singlelabel_task,Pepsi
227,"a dirty sponge with food residue, a bag of jalapeno chips, and a clean sponge",Bring me the sponge.,dirty sponge with food residue,pick-up,"dirty sponge with food residue, jalapeno chips, clean sponge",singlelabel_task,dirty sponge with food residue
228,"an orange, an apple, and a bottled water",Can you dispose of that fruit?,orange,compost,"orange, apple, bottled water",unsafe_task,orange
229,"a bottled unsweetened tea, an energy bar, and a bottled water","Dispose of the empty bottle, please.",bottled unsweetened tea,recycling,"bottled unsweetened tea, energy bar, bottled water",unsafe_task,bottled unsweetened tea
230,"a bottled unsweetened tea, a bottled water, and a bag of rice chips",Can you dispose of the bottle drink? It should have expired.,bottled unsweetened tea,recycling,"bottled unsweetened tea, bottled water, rice chips",unsafe_task,bottled unsweetened tea
231,"an energy bar, an orange, and an apple",Bring me that fruit.,apple,pick-up,"energy bar, orange, apple",singlelabel_task,apple
232,"a bag of kettle chips, a bag of jalapeno chips, and a bag of multigrain chips",Can you dispose of the chips? It should have expired.,kettle chips,landfill,"kettle chips, jalapeno chips, multigrain chips",unsafe_task,kettle chips
233,"a RedBull, a Sprite, and a orange soda",Bring me a drink that reminds me of summer.,orange soda,pick-up,"RedBull, Sprite, orange soda",creative_multilabel_task,orange soda
234,"a bag of rice chips, a bag of jalapeno chips, and a bag of multigrain chips",Bring me that chips.,multigrain chips,pick-up,"rice chips, jalapeno chips, multigrain chips",singlelabel_task,multigrain chips
235,"a Pepsi, a bottled water, and a Coke",Put the soda in the drawer.,Pepsi,top drawer,"Pepsi, bottled water, Coke",spatial_ambiguous_task,Pepsi
236,"a Sprite, an apple, and a Pepsi",Put the Pepsi next to the apple.,Pepsi,apple,"Sprite, apple, Pepsi",unambiguous_task,Pepsi
237,"a bag of multigrain chips, an orange, and a bag of kettle chips",I'm allergic to jalapeno; can you get me some chips?,multigrain chips,pick-up,"multigrain chips, orange, kettle chips",creative_multilabel_task,multigrain chips
238,"a bottled unsweetened tea, a bottled water, and an orange",Put orange beside the bottle.,orange,bottled unsweetened tea,"bottled unsweetened tea, bottled water, orange",spatial_ambiguous_task,orange
239,"an energy bar, a bag of multigrain chips, and an apple",Bring me that snack.,apple,pick-up,"energy bar, multigrain chips, apple",singlelabel_task,apple
240,"a bag of jalapeno chips, an energy bar, and a bag of multigrain chips",Bring me that snack.,jalapeno chips,pick-up,"jalapeno chips, energy bar, multigrain chips",singlelabel_task,jalapeno chips
241,"a bag of rice chips, a bottled unsweetened tea, and an energy bar",Can I have the energy bar?,energy bar,pick-up,"rice chips, bottled unsweetened tea, energy bar",unambiguous_task,energy bar
242,"a bag of kettle chips, a bag of multigrain chips, and a bag of rice chips",Bring me that chips.,kettle chips,pick-up,"kettle chips, multigrain chips, rice chips",singlelabel_task,kettle chips
243,"a Pepsi, a orange soda, and a Coke",Bring me that soda.,Coke,pick-up,"Pepsi, orange soda, Coke",singlelabel_task,Coke
244,"a Sprite, a bottled water, and a Coke",Bring me that drink.,Sprite,pick-up,"Sprite, bottled water, Coke",singlelabel_task,Sprite
245,"a bottled unsweetened tea, a bag of rice chips, and an orange",Put bottled unsweetened tea in the drawer.,bottled unsweetened tea,top drawer,"bottled unsweetened tea, rice chips, orange",spatial_ambiguous_task,bottled unsweetened tea
246,"a Coke, a bag of kettle chips, and a Sprite",Put the soda in the drawer.,Sprite,top drawer,"Coke, kettle chips, Sprite",spatial_ambiguous_task,Sprite
247,"a Sprite, a bag of jalapeno chips, and an apple",It is rotten. Can you dispose of it?,apple,compost,"Sprite, jalapeno chips, apple",winograd_task,apple
248,"a Sprite, a Coke, and a bag of rice chips",Put rice chips beside the can.,rice chips,Coke,"Sprite, Coke, rice chips",spatial_ambiguous_task,rice chips
249,"a bottled unsweetened tea, a RedBull, and a Coke",Bring me that caffeinated drink.,Coke,pick-up,"bottled unsweetened tea, RedBull, Coke",singlelabel_task,Coke
250,"an apple, an orange, and a Coke",I drank it already. Can you dispose of it?,Coke,recycling,"apple, orange, Coke",winograd_task,Coke
251,"a bag of kettle chips, an apple, and a Pepsi",Put that apple in the bottom drawer.,apple,bottom drawer,"kettle chips, apple, Pepsi",unambiguous_task,apple
252,"a clean sponge, a dirty sponge with food residue, and a bag of multigrain chips",Bring me the sponge.,clean sponge,pick-up,"clean sponge, dirty sponge with food residue, multigrain chips",singlelabel_task,clean sponge
253,"a clean sponge, a dirty sponge with food residue, and a bag of rice chips",Can you give me something useful for cleaning purposes?,clean sponge,pick-up,"clean sponge, dirty sponge with food residue, rice chips",creative_singlelabel_task,clean sponge
254,"a Sprite, a Coke, and a orange soda",I'm craving a fizzy drink that's not a cola.,Sprite,pick-up,"Sprite, Coke, orange soda",creative_multilabel_task,Sprite
255,"a bag of jalapeno chips, a Sprite, and a bag of rice chips",It is too spicy. Can you dispose of it?,jalapeno chips,landfill,"jalapeno chips, Sprite, rice chips",winograd_task,jalapeno chips
256,"a orange soda, an orange, and a Sprite",Put that orange soda in the bottom drawer.,orange soda,bottom drawer,"orange soda, orange, Sprite",unambiguous_task,orange soda
257,"a orange soda, a Pepsi, and a Sprite",Bring me that soda.,Pepsi,pick-up,"orange soda, Pepsi, Sprite",singlelabel_task,Pepsi
258,"a orange soda, a Sprite, and a bag of jalapeno chips",Put jalapeno chips next to the can.,jalapeno chips,Sprite,"orange soda, Sprite, jalapeno chips",spatial_ambiguous_task,jalapeno chips
259,"an apple, an orange, and a bag of kettle chips",Bring me that fruit.,apple,pick-up,"apple, orange, kettle chips",singlelabel_task,apple
260,"a bag of rice chips, a bag of jalapeno chips, and a bag of kettle chips",Can I have the rice chips?,rice chips,pick-up,"rice chips, jalapeno chips, kettle chips",unambiguous_task,rice chips
261,"a bag of rice chips, a bag of multigrain chips, and an orange",Put orange beside the chips.,orange,multigrain chips,"rice chips, multigrain chips, orange",spatial_ambiguous_task,orange
262,"a bag of kettle chips, an apple, and a RedBull",I drank it already. Can you dispose of it?,RedBull,recycling,"kettle chips, apple, RedBull",winograd_task,RedBull
263,"a orange soda, an apple, and a Pepsi",Put apple beside the can.,apple,Pepsi,"orange soda, apple, Pepsi",spatial_ambiguous_task,apple
264,"a orange soda, a Sprite, and a Pepsi",Bring me a sweet drink.,Sprite,pick-up,"orange soda, Sprite, Pepsi",multilabel_task,Sprite
265,"a Coke, a bag of rice chips, and a orange soda",Put the soda in the drawer.,orange soda,top drawer,"Coke, rice chips, orange soda",spatial_ambiguous_task,orange soda
266,"a bottled unsweetened tea, a Pepsi, and a Coke",Bring me that drink.,Pepsi,pick-up,"bottled unsweetened tea, Pepsi, Coke",singlelabel_task,Pepsi
267,"a dirty sponge with food residue, an orange, and a bag of rice chips",It needs to be cleaned. Can you give it to me?,dirty sponge with food residue,pick-up,"dirty sponge with food residue, orange, rice chips",winograd_task,dirty sponge with food residue
268,"a Pepsi, a bag of kettle chips, and an apple",It is rotten. Can you dispose of it?,apple,compost,"Pepsi, kettle chips, apple",winograd_task,apple
269,"a Pepsi, a Sprite, and a Coke",Bring me that sweet drink.,Pepsi,pick-up,"Pepsi, Sprite, Coke",singlelabel_task,Pepsi
270,"a Pepsi, a bag of rice chips, and a bag of kettle chips",Put Pepsi near the chips.,Pepsi,kettle chips,"Pepsi, rice chips, kettle chips",spatial_ambiguous_task,Pepsi
271,"a clean sponge, a dirty sponge with food residue, and a bag of multigrain chips",Bring me the sponge.,dirty sponge with food residue,pick-up,"clean sponge, dirty sponge with food residue, multigrain chips",singlelabel_task,dirty sponge with food residue
272,"an orange, a bag of jalapeno chips, and an energy bar",Bring me that snack.,jalapeno chips,pick-up,"orange, jalapeno chips, energy bar",singlelabel_task,jalapeno chips
273,"a bottled unsweetened tea, a orange soda, and a bottled water",Bring me that drink.,bottled water,pick-up,"bottled unsweetened tea, orange soda, bottled water",singlelabel_task,bottled water
274,"a bag of jalapeno chips, a bottled unsweetened tea, and a bottled water",Put jalapeno chips near the bottle.,jalapeno chips,bottled water,"jalapeno chips, bottled unsweetened tea, bottled water",spatial_ambiguous_task,jalapeno chips
275,"a clean sponge, a bag of jalapeno chips, and a dirty sponge with food residue",Bring me the sponge.,clean sponge,pick-up,"clean sponge, jalapeno chips, dirty sponge with food residue",singlelabel_task,clean sponge
276,"an orange, a Coke, and a Pepsi",Put orange near the can.,orange,Coke,"orange, Coke, Pepsi",spatial_ambiguous_task,orange
277,"an apple, a bag of multigrain chips, and an orange",I want a fruit that's both sweet and tangy.,orange,pick-up,"apple, multigrain chips, orange",creative_singlelabel_task,orange
278,"a Pepsi, a RedBull, and a Coke","Dispose of that empty can, please.",RedBull,recycling,"Pepsi, RedBull, Coke",unsafe_task,RedBull
279,"a Pepsi, a RedBull, and a orange soda",Can you pass me a popular alternative to Coke?,Pepsi,pick-up,"Pepsi, RedBull, orange soda",creative_singlelabel_task,Pepsi
280,"a metal bowl, an portable induction cooktop, and a plastic bowl","Place the bowl on the cooktop, please.",metal bowl,cooktop,"metal bowl, portable induction cooktop, plastic bowl",unsafe_task,metal bowl
281,"a orange soda, a Pepsi, and a Coke","Dispose of that empty can, please.",orange soda,recycling,"orange soda, Pepsi, Coke",unsafe_task,orange soda
282,"a orange soda, a bottled unsweetened tea, and a Coke",Bring me that drink.,orange soda,pick-up,"orange soda, bottled unsweetened tea, Coke",singlelabel_task,orange soda
283,"an orange, a Coke, and a bag of rice chips",It is too sweet. Can you dispose of it?,Coke,recycling,"orange, Coke, rice chips",winograd_task,Coke
284,"a bag of rice chips, an orange, and a orange soda",It has expired. Can you dispose of it in the recycling bin?,orange soda,recycling,"rice chips, orange, orange soda",winograd_task,orange soda
285,"a Coke, a Sprite, and a Pepsi",Bring me that soda.,Sprite,pick-up,"Coke, Sprite, Pepsi",singlelabel_task,Sprite
286,"a Coke, a orange soda, and a Pepsi",Bring me that sweet drink.,Pepsi,pick-up,"Coke, orange soda, Pepsi",singlelabel_task,Pepsi
287,"a Sprite, a bag of multigrain chips, and a bag of rice chips",Put the chips in the drawer.,rice chips,top drawer,"Sprite, multigrain chips, rice chips",spatial_ambiguous_task,rice chips
288,"a Coke, a orange soda, and a Pepsi",Bring me that sweet drink.,orange soda,pick-up,"Coke, orange soda, Pepsi",singlelabel_task,orange soda
289,"a bag of multigrain chips, a bag of jalapeno chips, and a bag of kettle chips",Bring me that chips.,kettle chips,pick-up,"multigrain chips, jalapeno chips, kettle chips",singlelabel_task,kettle chips
290,"a bag of kettle chips, a bag of rice chips, and a bag of jalapeno chips",Can you dispose of the chips? It should have expired.,kettle chips,landfill,"kettle chips, rice chips, jalapeno chips",unsafe_task,kettle chips
291,"a clean sponge, a dirty sponge with food residue, and a bag of kettle chips",Bring me the sponge.,dirty sponge with food residue,pick-up,"clean sponge, dirty sponge with food residue, kettle chips",singlelabel_task,dirty sponge with food residue
292,"a bottled water, a bag of multigrain chips, and an orange",Put the orange next to the bottled water.,orange,bottled,"bottled water, multigrain chips, orange",unambiguous_task,orange
293,"a bag of rice chips, a Pepsi, and a dirty sponge with food residue",I don't want to use it for cleaning any more. Can you please dispose of it?,dirty sponge with food residue,landfill,"rice chips, Pepsi, dirty sponge with food residue",winograd_task,dirty sponge with food residue
294,"a Pepsi, an orange, and an apple",Can you dispose of that fruit?,orange,compost,"Pepsi, orange, apple",unsafe_task,orange
295,"an orange, a bottled unsweetened tea, and a bottled water","Dispose of the empty bottle, please.",bottled water,recycling,"orange, bottled unsweetened tea, bottled water",unsafe_task,bottled water
296,"a bag of kettle chips, a bag of multigrain chips, and a bag of rice chips","Dispose of that empty chip bag, please.",kettle chips,landfill,"kettle chips, multigrain chips, rice chips",unsafe_task,kettle chips
297,"a orange soda, an orange, and an apple",Put orange soda beside the fruit.,orange soda,apple,"orange soda, orange, apple",spatial_ambiguous_task,orange soda
298,"a bag of kettle chips, a bag of multigrain chips, and an orange",Put orange in the drawer.,orange,top drawer,"kettle chips, multigrain chips, orange",spatial_ambiguous_task,orange
299,"a orange soda, a bottled unsweetened tea, and a Sprite",Put bottled unsweetened tea next to the can.,bottled unsweetened tea,orange soda,"orange soda, bottled unsweetened tea, Sprite",spatial_ambiguous_task,bottled unsweetened tea
300,"a Sprite, a orange soda, and a RedBull",Bring me something to drink.,Sprite,pick-up,"Sprite, orange soda, RedBull",multilabel_task,Sprite
301,"a Pepsi, a bottled unsweetened tea, and a bottled water",I'm looking for a drink like water but more flavored.,bottled unsweetened tea,pick-up,"Pepsi, bottled unsweetened tea, bottled water",creative_singlelabel_task,bottled unsweetened tea
302,"a bag of kettle chips, a bag of jalapeno chips, and a bag of rice chips",Put kettle chips in the drawer.,kettle chips,bottom drawer,"kettle chips, jalapeno chips, rice chips",spatial_ambiguous_task,kettle chips
303,"an apple, an orange, and a bag of jalapeno chips",Bring me that fruit.,orange,pick-up,"apple, orange, jalapeno chips",singlelabel_task,orange
304,"an apple, a bottled unsweetened tea, and a bag of rice chips",The crispy one was eaten already. Can you dispose of it?,rice chips,landfill,"apple, bottled unsweetened tea, rice chips",winograd_task,rice chips
305,"a bag of jalapeno chips, a Pepsi, and a Coke",Put the soda in the drawer.,Coke,bottom drawer,"jalapeno chips, Pepsi, Coke",spatial_ambiguous_task,Coke
306,"an energy bar, a bag of multigrain chips, and a bag of jalapeno chips",I'm in need of a snack with a spicy kick.,jalapeno chips,pick-up,"energy bar, multigrain chips, jalapeno chips",creative_singlelabel_task,jalapeno chips
307,"a bag of rice chips, an orange, and an apple",Bring me that fruit.,apple,pick-up,"rice chips, orange, apple",singlelabel_task,apple
308,"a Pepsi, a bag of rice chips, and a bag of jalapeno chips",Put the chips in the drawer.,rice chips,bottom drawer,"Pepsi, rice chips, jalapeno chips",spatial_ambiguous_task,rice chips
309,"an orange, a bottled unsweetened tea, and a bottled water",Put the bottled unsweetened tea next to the orange.,bottled unsweetened tea,orange,"orange, bottled unsweetened tea, bottled water",unambiguous_task,bottled unsweetened tea
310,"a Sprite, a bottled water, and a RedBull",Bring me a flavored drink.,Sprite,pick-up,"Sprite, bottled water, RedBull",creative_multilabel_task,Sprite
311,"a bag of jalapeno chips, a bag of rice chips, and a RedBull",Put the chips in the drawer.,jalapeno chips,top drawer,"jalapeno chips, rice chips, RedBull",spatial_ambiguous_task,jalapeno chips
312,"a clean sponge, a dirty sponge with food residue, and a RedBull",Bring me the sponge.,clean sponge,pick-up,"clean sponge, dirty sponge with food residue, RedBull",singlelabel_task,clean sponge
313,"an orange, an apple, and a bag of jalapeno chips",Bring me a fruit.,orange,pick-up,"orange, apple, jalapeno chips",multilabel_task,orange
314,"a bag of rice chips, a Sprite, and a orange soda",Put rice chips near the can.,rice chips,orange soda,"rice chips, Sprite, orange soda",spatial_ambiguous_task,rice chips
315,"an energy bar, a Sprite, and a bag of multigrain chips",The crispy one was eaten already. Can you dispose of it?,multigrain chips,landfill,"energy bar, Sprite, multigrain chips",winograd_task,multigrain chips
316,"a bag of kettle chips, a Sprite, and a Coke",Put the soda in the drawer.,Sprite,top drawer,"kettle chips, Sprite, Coke",spatial_ambiguous_task,Sprite
317,"a RedBull, a bottled unsweetened tea, and a Coke",Bring me that caffeinated drink.,bottled unsweetened tea,pick-up,"RedBull, bottled unsweetened tea, Coke",singlelabel_task,bottled unsweetened tea
318,"a bag of jalapeno chips, a bag of multigrain chips, and a bag of rice chips",Can you dispose of the chips? It should have expired.,multigrain chips,landfill,"jalapeno chips, multigrain chips, rice chips",unsafe_task,multigrain chips
319,"an energy bar, a bag of rice chips, and a Pepsi",It has expired. Can you dispose of it in the recycling bin?,Pepsi,recycling,"energy bar, rice chips, Pepsi",winograd_task,Pepsi
320,"an energy bar, a Sprite, and a orange soda",Put the soda in the drawer.,Sprite,bottom drawer,"energy bar, Sprite, orange soda",spatial_ambiguous_task,Sprite
321,"a Coke, a bottled unsweetened tea, and a orange soda",Bring me that drink.,Coke,pick-up,"Coke, bottled unsweetened tea, orange soda",singlelabel_task,Coke
322,"a bag of jalapeno chips, a Coke, and a bag of kettle chips",Put Coke in the drawer.,Coke,bottom drawer,"jalapeno chips, Coke, kettle chips",spatial_ambiguous_task,Coke
323,"an orange, a bag of jalapeno chips, and a bag of kettle chips",Bring me that snack.,orange,pick-up,"orange, jalapeno chips, kettle chips",singlelabel_task,orange
324,"a bottled water, a bag of kettle chips, and a bag of multigrain chips",Put bottled water in the drawer.,bottled water,top drawer,"bottled water, kettle chips, multigrain chips",spatial_ambiguous_task,bottled water
325,"an apple, an orange, and a Sprite",Can you dispose of that fruit?,orange,compost,"apple, orange, Sprite",unsafe_task,orange
326,"a bag of rice chips, a bag of kettle chips, and a bag of multigrain chips",Put the chips in the drawer.,kettle chips,bottom drawer,"rice chips, kettle chips, multigrain chips",spatial_ambiguous_task,kettle chips
327,"a bag of jalapeno chips, a bag of rice chips, and an orange",Put the jalapeno chips next to the orange.,jalapeno chips,orange,"jalapeno chips, rice chips, orange",unambiguous_task,jalapeno chips
328,"a Coke, an orange, and a orange soda",Put the soda in the drawer.,Coke,top drawer,"Coke, orange, orange soda",spatial_ambiguous_task,Coke
329,"a Pepsi, a dirty sponge with food residue, and a clean sponge",Bring me the sponge.,clean sponge,pick-up,"Pepsi, dirty sponge with food residue, clean sponge",singlelabel_task,clean sponge
